run_id,task,input_id,depth,condition,paraphrase_idx,position,position_idx,divergence,out_len,base_len,len_ratio,schema_violation,judge_score,base_judge_score,agent_model,backend,embedder
summarization|sum_3|d3|p2|last,summarization,sum_3,3,perturbed,2,last,2,0.0314238667488098,1039,906,1.1467991169977925,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p0|first,summarization,sum_4,3,perturbed,0,first,0,0.0634450912475586,586,966,0.6066252587991718,,8,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p1|first,summarization,sum_4,3,perturbed,1,first,0,0.042471170425415,613,966,0.634575569358178,,8,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p2|first,summarization,sum_4,3,perturbed,2,first,0,0.0408402681350708,635,966,0.6573498964803313,,8,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p0|middle,summarization,sum_4,3,perturbed,0,middle,1,0.0727729201316833,960,966,0.9937888198757764,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p1|middle,summarization,sum_4,3,perturbed,1,middle,1,0.0215622186660766,1057,966,1.0942028985507246,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p2|middle,summarization,sum_4,3,perturbed,2,middle,1,0.0150313377380371,898,966,0.9296066252587992,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p0|last,summarization,sum_4,3,perturbed,0,last,2,0.0524693727493286,618,966,0.639751552795031,,8,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p1|last,summarization,sum_4,3,perturbed,1,last,2,0.0394590497016906,1112,966,1.1511387163561078,,6,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_4|d3|p2|last,summarization,sum_4,3,perturbed,2,last,2,0.0870283842086792,1318,966,1.3643892339544514,,4,6,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p0|first,summarization,sum_0,4,perturbed,0,first,0,0.0317805409431457,621,619,1.0032310177705976,,8,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p1|first,summarization,sum_0,4,perturbed,1,first,0,0.3929198980331421,455,619,0.7350565428109854,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
summarization|sum_0|d4|p2|first,summarization,sum_0,4,perturbed,2,first,0,0.4318948984146118,486,619,0.7851373182552503,,7,8,claude-haiku-4-5-20251001,anthropic,all-MiniLM-L6-v2
